LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
כלל ארצי,,,,9601720,26.7,,1,יהודים,99.2,,,35.4,52.2,12.4,914,30,29,31,36.9,76.2,76.1,23.9,25.3,16.5,47.3,8.6,12.1,27.2,4.8,,24,26,23,2.2,9,34.2,3053450,3,22.6,22.3,1,חילוני,1.8,26.4,30.3,62.9,59.3,31.6
אבו גוש,472,,,8660,39.8,6558.4,2,מוסלמים,114.3,0.1,5.9,33.3,60.7,6,648.2,28,29,28,41.4,85.4,,,,10.8,,,,,,,25,28,22,2.4,9.7,47.5,2400,3.4,26.4,37.5,3,דתי/ דתי מאוד,1.5,25,30.3,53.3,54.7,21.4
אבו סנאן,473,,,13900,13.4,6015.2,2,מוסלמים,108,,0.2,32.6,59.5,7.9,681.3,29,27,30,37.7,87.9,,,,,,,,,,,24,26,22,2.4,11.5,43.5,3930,3.5,25.2,30.8,2,מסורתי,1.7,18,38.9,76.4,78.4,4.9
אבו סנאן,473,1,1,5100,,,5,דרוזים,99.8,,,33.9,58.4,7.6,710.9,29,27,30,40,88.7,,,,,,,,,,,24,27,22,2.5,14,46,1210,3.9,28.7,27.6,2,מסורתי,1.7,13.3,42.6,81.6,79.6,7.4
אבו סנאן,473,2,2,3250,,,2,מוסלמים,102,,,29.8,62.2,8.1,609,29,28,32,34.4,86.8,,,,,,,,,,,24,26,22,2.5,14.2,55.8,860,3.3,19.9,33.8,2,מסורתי,1.6,19.9,36.3,69.6,75.7,5.3
אבו סנאן,473,3,3,5550,,,2,מוסלמים,120.2,,,33,58.9,8.1,698.8,28,27,30,37.7,87.9,,,,,,,,,,,23,25,21,2.5,9.3,33.7,1370,3.7,25,31.4,2,מסורתי,1.6,18.4,38.8,77.1,84.1,2.3
אבו קורינאת (יישוב),1342,,,2370,125.2,2366.9,2,מוסלמים,116.1,,0,59.5,39.6,0.9,1526.7,15,15,17,70.8,87.9,,,,,,,,,,,21,22,19,3.4,5.8,100,490,4.9,73.3,59.3,6,אחר,1,35.2,2.2,49.7,67.7,2.8
אבו תלול,1375,,,4980,,3075.9,2,מוסלמים,84.5,,,53.8,41.6,4.6,1401.9,18,19,17,61.6,74.3,,,,,,,,,,,20,21,19,3.6,16.3,95.9,1210,4.1,39.8,49,2,מסורתי,1.2,42.7,4.6,61.2,92.8,
אבטין,652,,,2750,16,7437.9,2,מוסלמים,103.6,,0.2,39,56.1,4.9,781.5,25,24,26,46.2,84.8,,,,,,,,,,,24,25,22,2.2,13,53.3,680,4.1,30.5,33,2,מסורתי,1.3,23.2,21.8,60,56.3,7.9
אבטליון,1275,,,470,54.3,3147.5,1,יהודים,99.4,,0.2,41.7,55.1,3.2,815.7,26,27,26,11.8,77.2,86.6,13.4,25.6,12.6,62.2,3.7,6.8,18.6,8.8,ישראל,28,28,27,2.1,1.3,,130,3.5,24.7,29.2,1,חילוני,2.4,,66.2,75.2,79.1,16.1
אביאל,679,,,770,16.7,1515.6,1,יהודים,117,,6.6,39.2,52.5,8.3,903.5,33,30,36,14,77.5,93.1,6.9,44.7,21.8,66.2,6.3,5.1,18,4.4,ישראל,28,28,26,2,5.8,34.1,240,3.1,23.4,14.2,1,חילוני,2.1,8.3,54.9,83.5,57.3,28.7
אביבים,1115,,,490,-1.2,1492,1,יהודים,118.2,,8.3,33,57,10,753,30,29,30,31.7,85.4,86.2,13.8,1.3,1.3,51.7,1.5,45.2,1.2,0.4,ישראל,23,25,22,2.5,14.5,63.2,140,3.3,17.5,39.9,3,דתי/ דתי מאוד,1.4,11.1,52,88.4,60.2,5.4
אביגדור,819,,,840,18.3,1417.6,1,יהודים,86.4,,3.8,32.5,52.1,15.4,919.9,36,38,35,33.1,86.8,92.6,7.4,19.3,8.5,61.3,6.8,9.3,20.4,2.3,ישראל,27,28,25,2,3.7,16.6,280,2.9,20.6,12.8,1,חילוני,1.9,3,57.1,96.8,60.2,23.2
אביחיל,175,,,1290,1.9,1863.8,1,יהודים,92.3,,1.2,31.4,48.7,19.9,1052.6,41,38,42,21.8,57.4,86.7,13.3,23.6,14.3,55.3,5.6,8.5,24.8,5.8,ישראל,26,27,25,1.9,7.1,13.2,480,2.6,12.7,14.1,1,חילוני,2.1,20.6,51.7,71.5,49.9,31.4
אביטל,2052,,,610,21.5,1603.7,1,יהודים,136.4,,8.9,34.5,51.2,14.4,953.5,31,32,30,16.6,80.7,86.9,13.1,1,,57.6,35.1,4.8,2.2,0.3,ישראל,24,27,23,2.9,7.4,24.1,180,3.1,18,16.6,2,מסורתי,1.6,10.8,43.1,90.5,71.2,20.3
אביעזר,1070,,,910,72.7,3385.1,1,יהודים,103.5,,0.1,36.1,55.2,8.7,812.5,31,34,28,34.9,80.1,85.8,14.2,12.2,5.4,56.9,21.5,6.5,11.5,3.5,ישראל,26,26,25,2.1,4.7,16.1,290,3.2,14.8,22.3,1,חילוני,2.1,6.8,52.9,86.9,68.4,17
אבירים,1220,,,280,50.5,2169.4,1,יהודים,103.2,,,33.3,57.5,9.2,739.5,34,32,35,5.1,52.9,90.2,9.8,20,11.8,64.3,3.9,3.8,21.2,6.8,ישראל,27,27,26,2.1,6.3,10.1,100,2.9,29.7,16.9,1,חילוני,1.7,6.3,56.4,91.4,68.3,29.7
אבן יהודה,182,,,14990,47.1,4246.2,1,יהודים,95,1.8,1.4,34.3,51,14.7,962,36,35,37,16.2,82.5,86.2,13.8,24.4,14.9,54.9,10.5,7.9,21.9,4.8,ישראל,26,28,25,2,6.2,24.8,4930,3,17.7,20.4,1,חילוני,2.3,8.8,57.6,79.9,63.9,26.9
אבן יהודה,182,3,3+1,3560,,,1,יהודים,85.5,,,30.8,53.1,16.1,884.8,35,37,35,23.1,68.2,85.4,14.6,26.9,20.1,52.3,19.4,7.9,15.9,4.5,ישראל,26,28,25,2.1,7.3,23.8,1280,2.7,21.4,18.5,1,חילוני,2,12.8,49.5,78.1,57.5,27.8
אבן יהודה,182,4,4+9,3220,,,1,יהודים,101.6,,,34.9,50,15.1,1000.2,37,35,39,19,80.1,86.6,13.4,25.2,13.7,54.5,9.5,8.5,23.3,4.3,ישראל,27,28,26,2.1,5.9,21,1050,3,16,18.7,1,חילוני,2.4,5.6,61.5,77.7,70.3,21.5
אבן יהודה,182,5,5+8,5210,,,1,יהודים,91.9,,,32.9,48.2,18.9,1073.9,39,38,40,12.3,84.6,84.6,15.4,20.1,10.5,53.9,7,8.1,25.9,5.1,ישראל,26,28,25,2,7.3,28,1690,3,15.9,18.7,1,חילוני,2.4,9.2,56.9,81.5,63.9,28.1
אבן יהודה,182,7,7,3000,,,1,יהודים,106,,,40.4,54.3,5.3,841.2,27,24,30,9.8,90.2,89.6,10.4,30.2,18.9,59.9,7.2,6.9,20.6,5.4,ישראל,27,28,25,1.8,3.2,23,870,3.4,18.1,28.4,1,חילוני,2.7,5.1,68.2,84.1,68,29.1
אבן מנחם,1081,,,390,40.7,1540.6,1,יהודים,124.2,,7.8,26.5,57.6,15.9,736.4,37,37,36,39,73.8,83.1,16.9,2.9,,47.3,7.7,38.2,6.6,0.3,ישראל,25,26,23,2.9,14.5,39.6,120,3,25.7,16,2,מסורתי,1.8,20.7,39.2,77.8,68.4,14.2
אבן ספיר,783,,,710,11.5,2859.9,1,יהודים,122.8,,1.3,26.4,60.6,12.9,649.1,31,31,31,26.4,70.5,88.5,11.5,8.5,2.7,58.7,22.6,11.3,6,1.3,ישראל,26,27,24,1.8,9.5,43.3,280,2.5,16.9,23.7,2,מסורתי,1.6,20.8,42.3,71,22.6,48.8
אבן שמואל,400,,,1950,148.3,3610,1,יהודים,101.8,3.8,0.8,50.4,43.5,6.1,1300.8,19,19,19,43.8,94.2,87.8,12.2,44.5,34,60.6,7.8,19,5.4,7.3,ישראל,23,25,22,2.5,4.9,19.3,460,4.1,29.3,30.8,3,דתי/ דתי מאוד,2.2,9.4,47.8,92,61.7,28.4
אבני איתן,4011,,,960,110.4,2389.5,1,יהודים,119.5,,10,49,45.7,5.3,1186.7,21,26,17,53.7,95.8,94.9,5.1,13.6,2,74.1,4,5.2,10.6,6.1,ישראל,23,24,22,3.3,1.7,,200,4.4,47.5,16.5,3,דתי/ דתי מאוד,1.8,2.2,63.3,87.2,66.2,25.9
אבני חפץ,3793,,,2210,70.5,7371.2,1,יהודים,116.3,,0.1,48,50.1,1.8,994,21,20,22,50.9,87.5,91.1,8.9,41.4,11.1,65.7,6.9,9,12.3,6.1,ישראל,23,24,22,2.5,2.5,,560,3.9,42.8,32.6,3,דתי/ דתי מאוד,1.8,2.1,45.3,66.4,59.6,32.3
אבנת,3786,,,240,474.5,4825.5,1,יהודים,139.2,,,65.5,34.5,,1896.7,14,14,14,80.4,100,96.2,3.8,40.7,10.4,72.9,0.4,5.3,10.6,10.8,ישראל,23,24,22,3,0.6,,40,5.3,76.1,3.9,3,דתי/ דתי מאוד,2.2,4.7,57.8,76,53.6,46.4
אבשלום,1311,,,360,156.1,2989.8,1,יהודים,113.1,,3.1,27.9,60.4,11.8,656.9,41,39,43,22.9,83.2,55.1,44.9,9.7,4.9,27,1.7,10.4,54.4,6.6,ישראל,25,25,24,2,11.2,44.6,100,3.3,19.4,26,1,חילוני,1.8,9.1,43.2,91.7,81.6,15
אדורה,3759,,,490,90,4058.2,1,יהודים,119.9,,0.8,53,45.2,1.9,1214.3,16,15,18,46.2,89.3,92.2,7.8,13.3,8.2,65.6,4.8,11,9.9,8.6,ישראל,23,24,22,2.7,2,100,110,4.5,43.2,19.9,2,מסורתי,2.1,15.8,62.7,68.8,86.1,5
אדירים,113,,,360,31,1153.2,1,יהודים,126,,14.5,32.4,58.3,9.3,714.8,31,32,30,33,89.9,88.1,11.9,,,55,3.2,38.7,3.1,,ישראל,25,27,23,3.4,14,67.3,110,2.8,19.7,24,3,דתי/ דתי מאוד,1.5,15.9,31.2,89.5,54.1,24.7
אדמית,1068,,,400,141.3,2828.5,1,יהודים,113.5,,2,35.7,47.8,16.6,1092.8,38,38,38,9.3,68.1,71,29,10.4,4,37.7,3.4,9,35.1,14.8,ישראל,25,26,25,1.7,4.2,16.1,200,2.1,10.5,37.2,1,חילוני,1.9,9.2,44.6,75.9,79.4,13.8
אדרת,1123,,,1080,77.3,4155.3,1,יהודים,103.7,,0.4,40.9,51.4,7.7,945.2,26,24,29,37.7,89.6,83.6,16.4,17.6,11.7,48.7,2.8,28.6,9.2,10.7,ישראל,24,25,23,2.8,6.2,35.8,280,3.8,24.5,30.1,3,דתי/ דתי מאוד,2,8.4,50.3,89.5,66.8,19.8
אודים,446,,,1230,-1,2078.9,1,יהודים,97.5,,10.5,26.6,61.3,12,630.3,35,36,33,22.6,68.7,86,14,21.7,11.5,58.8,5.3,7.7,21.7,6.5,ישראל,26,27,24,1.7,4.5,29.1,400,2.7,22.6,20.6,1,חילוני,2.1,4.3,50.7,85.8,42.7,45
אודם,4010,,,260,200.3,2373.8,1,יהודים,104.9,,,39.8,50.8,9.4,967.1,29,33,28,47.6,78.5,90.1,9.9,28.9,24.8,57.6,9.5,9.5,16.2,7.3,ישראל,26,29,25,2.1,3.5,4.4,90,2.9,41.5,15.3,1,חילוני,1.7,7.3,52.1,72,49.8,37.6
אוהד,1046,,,650,22.7,1982.5,1,יהודים,207.1,,39.1,25.3,64.7,10,545.9,32,31,38,20,90.9,84.5,15.5,6.3,1.8,48.8,13.3,20.9,12.8,4.2,ישראל,24,26,23,2.4,8.8,49.3,130,3.1,10.3,16.5,1,חילוני,2.2,,51.4,93.4,67.1,21.9
אום אל-פחם,2710,,,57560,27.8,6110.4,2,מוסלמים,101.5,0.1,0.1,40.1,54.7,5.2,828.6,25,24,25,44,88.9,,,,53.4,,,,,,,24,26,22,2.6,12.3,62.2,15710,3.7,30,34.5,2,מסורתי,1.6,24.1,30.9,68.8,76,7.8
אום אל-פחם,2710,11,11,3760,,,2,מוסלמים,101.8,,,42.2,54.4,3.4,838.2,24,24,24,50.9,93.7,,,,57.6,,,,,,,24,26,22,2.5,6.1,37,910,3.9,33.4,35,2,מסורתי,1.6,14.3,38.5,78,74.7,8.8
אום אל-פחם,2710,12,12,3050,,,2,מוסלמים,99.4,,,41.7,52.9,5.5,891.5,24,23,26,45.2,84.5,,,,,,,,,,,24,26,21,2.4,9.4,78,720,4,33.8,36,3,דתי/ דתי מאוד,1.6,12.1,39.5,77.2,75.3,7.9
אום אל-פחם,2710,13,13,1670,,,2,מוסלמים,119.4,,,37.2,56.9,5.9,757.8,27,25,28,27.9,89.4,,,,,,,,,,,24,26,22,3,8.7,36.3,470,3.3,22,37.6,2,מסורתי,1.3,26.1,43.3,66.3,71.8,4.7
אום אל-פחם,2710,14,14,4290,,,2,מוסלמים,108,,,43,54.8,2.2,824.9,24,24,24,59.7,94.4,,,,100,,,,,,,25,27,23,2.3,7.3,47.3,1040,4,41.1,29.1,2,מסורתי,1.8,14.3,44.9,75,75.8,6.3
אום אל-פחם,2710,15,15,2270,,,2,מוסלמים,93.7,,,38.9,55.7,5.4,795.6,26,26,25,48.3,87.2,,,,,,,,,,,24,25,23,2.6,15.8,76.3,650,3.3,25.7,31.3,2,מסורתי,1.8,28.3,34.3,64.5,70.8,8.4
אום אל-פחם,2710,21,21,4000,,,2,מוסלמים,88.7,,,33.1,56.8,10.1,760.1,28,24,33,33.1,79.9,,,,100,,,,,,,23,25,21,2.9,20.2,64.6,1070,3.5,17.3,40.4,3,דתי/ דתי מאוד,1.4,42,18.2,52,77.6,6.9
אום אל-פחם,2710,22,22,3550,,,2,מוסלמים,107.5,,,38.5,53.2,8.3,878.5,27,24,32,32.9,80.9,,,,,,,,,,,24,27,22,2.7,14.3,68.3,990,3.5,22.6,29.8,3,דתי/ דתי מאוד,1.4,32.5,20.5,54.3,73.8,11.8
אום אל-פחם,2710,31,31,2510,,,2,מוסלמים,105.2,,,37.9,55.9,6.2,788.9,25,25,25,35.3,87.6,,,,,,,,,,,24,27,22,2.5,17.6,66.5,630,3.8,22.6,45.2,2,מסורתי,1.4,24.6,32.4,62.4,77.2,7.1
אום אל-פחם,2710,32,32,3530,,,2,מוסלמים,97.8,,,42.2,53.7,4.1,861.1,24,24,24,48.1,92.2,,,,,,,,,,,25,27,21,2.4,9.9,55.1,930,3.6,32.1,31.3,2,מסורתי,1.7,20.7,31.9,82,81.4,5.3
אום אל-פחם,2710,33,33,4550,,,2,מוסלמים,99.5,,,41.2,53.7,5.1,861.7,24,24,24,45.9,85.9,,,,57.4,,,,,,,23,25,21,2.9,10.9,59.7,1170,3.8,33.2,37.3,3,דתי/ דתי מאוד,1.7,25.5,29.9,69.2,75.2,9.2
אום אל-פחם,2710,34,34,3020,,,2,מוסלמים,106.1,,,41.1,53.6,5.3,866,24,24,25,44.5,92.3,,,,,,,,,,,23,24,21,3.2,11.9,42.5,760,3.8,29.2,31.9,2,מסורתי,1.3,26.8,25.9,61.8,74.8,8
אום אל-פחם,2710,35,35,2350,,,2,מוסלמים,112.3,,,27.4,67,5.5,492,28,26,30,31.4,87.7,,,,,,,,,,,24,26,21,2.4,13,53.2,710,3.1,21.7,33.1,2,מסורתי,1.7,25.9,27.5,60.2,78.7,9.7
אום אל-פחם,2710,36,36,4810,,,2,מוסלמים,105.7,,,44,53.1,2.9,882,23,22,23,50.8,95.8,,,,,,,,,,,24,25,21,2.5,10.1,41.9,1200,3.9,35.8,39.1,3,דתי/ דתי מאוד,1.5,16,31.3,71.9,71.2,9.7
אום אל-פחם,2710,37,37,2790,,,2,מוסלמים,85,,,45.8,51.6,2.5,936.3,22,24,19,41.7,92.6,,,,,,,,,,,23,25,22,2.6,12.8,100,620,4.1,39.2,35.2,2,מסורתי,1.6,19.8,25.7,71.7,76.7,12.2
אום אל-פחם,2710,41,41,4150,,,2,מוסלמים,107.8,,,42.1,53,4.9,887.2,25,23,26,56.7,85.5,,,,,,,,,,,24,27,22,2.6,13.3,72.7,1020,3.9,39.4,31.2,2,מסורתי,1.5,22.8,33.4,73.1,83,6.7
אום אל-פחם,2710,42,42,2230,,,2,מוסלמים,93.9,,,43.7,52.1,4.2,920.3,22,22,22,38.6,88.5,,,,,,,,,,,23,26,21,2.6,12.8,68.4,520,4.1,32.5,39.4,2,מסורתי,1.7,23.7,24.9,70.8,77.6,3.2
אום אל-פחם,2710,43,43,5020,,,2,מוסלמים,102,,,37.4,55.6,6.9,797.4,26,25,26,35.1,92.1,,,,100,,,,,,,23,25,21,2.8,14.5,86.1,1280,3.8,27.8,32.1,2,מסורתי,1.7,24.2,33,76.2,84.2,5
אום אל-קוטוף,2024,,,1200,33.9,3986.4,2,מוסלמים,102.7,,,41.4,54.3,4.3,840.1,24,24,23,37.3,90.8,,,,100,,,,,,,25,27,23,1.8,7.3,31.9,330,3.7,31.3,36.5,3,דתי/ דתי מאוד,1.6,14.7,53,93.3,83.2,3.5
אום בטין,1358,,,4970,242,2685.3,2,מוסלמים,94.4,,,58.4,41,0.6,1440.1,17,17,16,53.7,85.8,,,,,,,,,,,22,23,21,2.5,4.9,80.6,1280,3.9,48.9,43.6,3,דתי/ דתי מאוד,1.2,57.7,5,58.4,85.9,1.1
אומן,1108,,,760,194.5,3805.3,1,יהודים,83.4,,,38.3,52.1,9.5,917.6,31,33,30,42.4,80.4,78.9,21.1,8.3,1.4,50.5,3.6,15.7,27.6,2.6,ישראל,25,26,24,1.9,7.9,24.7,220,3.4,34.5,17.9,2,מסורתי,1.8,19.7,46,88,76.6,15.8
אומץ,680,,,810,31.9,2016.7,1,יהודים,128.6,,8.4,33.3,56.5,10.2,769,35,32,39,12,71.6,90.3,9.7,19.6,5.6,57.6,5.9,7.3,25,4.2,ישראל,26,27,26,2,4.9,15.9,240,3.1,19.6,24.1,1,חילוני,2,3.1,71.8,96.2,65.2,25.6
אופקים,31,,,35360,46,7244.9,1,יהודים,97.8,1.8,0.8,39.6,51.1,9.3,955.2,27,27,27,48.1,75.9,77.4,22.6,12.9,6.8,47.6,4.6,20.6,25.2,1.9,ישראל,23,25,22,2.6,9.5,43.5,10090,3.4,32,23,2,מסורתי,1.6,35.5,23.8,61.3,63.6,28.7
אופקים,31,1,1,5020,,,1,יהודים,95.9,,,30.1,55.8,14.1,793.2,32,31,34,28.9,76,63.7,36.3,15.7,9.1,29.8,4.2,24.7,40.2,1.1,ישראל,24,26,22,2.1,10,26.9,1500,3.2,20.7,25.6,2,מסורתי,1.6,30.7,26.5,62.4,61,29
אופקים,31,2,2,3770,,,1,יהודים,103.4,,,24.9,54.9,20.1,820.4,35,33,40,28,62.5,63.7,36.3,14.2,7.2,32.3,6.1,33,27.4,1.1,ישראל,23,25,21,2.9,19.9,56.6,1420,2.5,14.9,16.1,2,מסורתי,1.4,48.2,19.7,35.6,52.2,34.6
אופקים,31,3,3,2500,,,1,יהודים,85.3,,,32.3,53.9,13.8,855.3,30,30,30,23.4,50.5,68.9,31.1,15.6,7.2,38.2,6.3,25.6,27.9,2,ישראל,23,26,21,2.3,20.4,56,900,2.5,19.6,20.2,1,חילוני,1.4,44.4,13.3,37.3,49.2,44.9
אופקים,31,4,4+5,3040,,,1,יהודים,109.9,,,42,47.5,10.5,1105.2,24,23,24,53.7,86.6,86.3,13.7,12,6.3,57.6,5.9,20.7,11.7,4.1,ישראל,23,24,22,3.1,8.1,37.6,840,3.5,33.5,27.9,4,חרדי,1.4,48.6,15.6,47.5,64.2,28.7
אופקים,31,6,6,5300,,,1,יהודים,95.7,,,46.2,47.6,6.2,1101.8,22,20,22,57.9,76.2,86.8,13.2,7,3,59.8,5.2,17.4,15.1,2.5,ישראל,22,23,21,3,8.4,39.5,1320,4,36.9,36.9,4,חרדי,1.4,66.4,4.8,31.4,55,39.4
אופקים,31,7,7,6250,,,1,יהודים,99.5,,,31.7,57.5,10.9,739.6,32,32,33,35.5,83,68.4,31.6,8.9,5.2,35.6,4.5,22.3,36.5,1.1,ישראל,23,25,22,2.3,8.8,41.3,1840,3.4,24,25.6,1,חילוני,1.8,20.8,34.8,81.5,74.1,17.2
אופקים,31,8,8,8510,,,1,יהודים,97.4,,,53.9,44.5,1.6,1244.7,16,15,16,73.2,82.9,90.3,9.7,17.1,8.5,64.2,3.1,13.2,17.2,2.3,ישראל,24,25,23,2.6,3.7,47.9,1920,4.4,58.9,16,2,מסורתי,1.8,17.3,34.4,93.4,74.2,22
אופקים,31,10,10,960,,,1,יהודים,90.1,,,45.1,53.4,1.5,872,26,26,27,83,72.6,84.6,15.4,13.8,4.8,52.4,4.5,13.3,29.3,0.6,ישראל,25,26,24,1.9,2.6,15.9,270,3.6,67.5,8.9,1,חילוני,1.5,8.3,38.6,98.6,86.3,12.4
אור הגנוז,1294,,,680,55.7,3392.7,1,יהודים,104,1.6,,57.3,42.1,0.6,1374.5,17,19,16,25.5,96.1,95.6,4.4,14.9,7.4,71.9,4.6,9.7,5.2,8.6,ישראל,26,27,24,3,3.3,100,130,5,38.2,33.4,4,חרדי,2,16.7,26,70.2,58.3,26.8
אור הנר,67,,,910,115.5,3481.4,1,יהודים,100.8,,2.4,37,49.2,13.8,1031.4,34,34,34,24.9,86.9,78.4,21.6,10.3,3.3,48.8,3.1,6.8,10.9,30.4,ישראל,26,28,25,2.1,5,20.2,290,3.1,29.4,15.9,1,חילוני,2,17.6,44.5,61.6,63.8,26.6
אור יהודה,2400,,,36850,4.8,11166.6,1,יהודים,96.8,1.1,3.5,30.8,55.4,13.8,805.2,34,34,34,36.9,72.1,75.2,24.8,14.8,3.8,39.8,17.2,10.6,31.4,0.9,ישראל,24,25,22,2.2,11.3,45.7,12040,3,20.6,21.9,2,מסורתי,1.6,25,31.1,61.5,64.9,27
אור יהודה,2400,12,12+11,4460,,,1,יהודים,101.2,,,28.2,57.3,14.5,746.1,35,35,34,36.4,60.7,83.2,16.8,5.7,1.6,46.5,23.2,12.7,17.1,0.6,ישראל,24,25,22,2.2,14.5,50.4,1500,2.8,21.3,19.2,2,מסורתי,1.3,26.3,30.8,52.2,44.3,34.6
אור יהודה,2400,13,13,410,,,1,יהודים,98,,,22.7,54.5,22.8,834.9,38,38,39,31.3,42.3,81.7,18.3,11.5,8.2,48.1,22.5,25.1,3.4,0.9,ישראל,24,25,22,2.6,14.7,35.9,180,2.3,12.3,8,2,מסורתי,1.3,29.4,31.5,46.4,46.4,36.8
אור יהודה,2400,21,21,2870,,,1,יהודים,96.4,,,27.4,57,15.7,755.7,38,36,39,24.3,77.5,80.3,19.7,6.9,3.5,45.7,17.3,6.8,28,2.2,ישראל,25,27,23,2,7.9,32.4,1000,2.8,15.3,25.6,1,חילוני,1.9,16.6,44.4,97.6,70.1,24.1
אור יהודה,2400,22,22,2410,,,1,יהודים,85.6,,,28.1,46.2,25.7,1165.7,41,40,41,45.7,63.8,68.3,31.7,6.3,3.1,32.1,24.9,7.1,34.9,1,ישראל,23,25,22,2.5,15.3,57.4,690,2.9,19.3,13.4,2,מסורתי,1.3,42.3,16.8,15,59.7,34.3
אור יהודה,2400,23,23,3410,,,1,יהודים,97.9,,,31,56.1,12.9,782.8,33,33,34,38.6,67.7,67.4,32.6,20.7,5.1,31.1,15.9,11.1,41.3,0.6,ישראל,23,25,21,2.3,11.9,39.8,1140,2.9,19,23.9,2,מסורתי,1.5,29.8,16.2,30.5,67.8,27.8
אור יהודה,2400,24,24,3640,,,1,יהודים,93.7,,,29.5,57.2,13.3,748.2,35,36,33,42.4,68.1,63.7,36.3,17,3.6,27.8,13.1,9.2,49.3,0.6,ישראל,22,24,21,2.2,12.9,49,1160,3,19.7,21.3,2,מסורתי,1.3,30.7,16.7,39.6,65.5,29.2
אור יהודה,2400,25,25,3520,,,1,יהודים,108.1,,,27.7,57.6,14.7,737.4,36,33,39,25.4,78.3,77.3,22.7,3.2,0.9,37.5,17.6,6.5,37,1.3,ישראל,23,25,22,2.2,8.3,40.8,1140,3,14,25.4,2,מסורתי,1.6,10.1,39.6,96.1,79.1,16.2
אור יהודה,2400,26,26,2970,,,1,יהודים,96.1,,,25.8,57.6,16.6,737,37,35,40,27,84.9,80.8,19.2,5.2,2.7,42.7,19,9,28,1.3,ישראל,24,25,22,1.9,7.9,27.6,940,3.1,14.5,26.9,2,מסורתי,2.1,8.8,54.2,91,74.8,16.9
אור יהודה,2400,27,27,2370,,,1,יהודים,93.4,,,44.9,53.3,1.8,874.6,27,25,28,73.6,63.6,86.8,13.2,25.8,12,58.2,8.1,6.6,25.3,1.7,ישראל,26,28,25,1.6,2.6,,770,3.1,43.3,14,1,חילוני,1.7,6,51,99,44,52.9
אור יהודה,2400,31,31,1450,,,1,יהודים,94.8,,,30.7,54.1,15.2,848.9,33,32,33,35.9,60.8,76,24,28.3,2.3,42.2,21.2,19.8,16.5,0.3,ישראל,24,25,22,2.5,13.5,47.2,480,2.9,23,19.6,2,מסורתי,1.7,41.8,22.3,11.7,62.9,23
אור יהודה,2400,32,32+33,3150,,,1,יהודים,100.5,,,30.9,53.1,16,884.8,33,33,34,36.7,63.6,63.9,36.1,24,4.1,30.1,14.9,19.1,35.4,0.5,ישראל,24,25,22,2.3,18.7,59.7,1080,2.8,21.6,17.2,2,מסורתי,1.2,43.4,15.9,36.7,75.4,15.8
אור יהודה,2400,34,34,1510,,,1,יהודים,99.3,,,30.5,54.4,15.2,839.9,33,33,33,35.3,51.8,65.9,34.1,38.3,7.6,33.7,17.3,21.5,27.1,0.3,ישראל,24,25,23,2.7,21.6,78.5,480,2.9,24.7,19.6,2,מסורתי,1.1,56.8,14.3,17,68.6,22.9
אור יהודה,2400,35,35,4670,,,1,יהודים,92.6,,,37,55.9,7.1,787.9,31,32,31,33.8,83.1,80.8,19.2,8.3,3.5,46,15.3,7,31,0.7,ישראל,24,26,22,2.1,7,43.9,1400,3.3,21.9,28.2,1,חילוני,1.7,14.8,40.6,95.8,72.7,23.7
אור עקיבא,1020,,,22170,36.1,7752.8,1,יהודים,96.8,1.3,2.1,30.6,55.1,14.3,814,35,33,36,37.5,67.7,63.3,36.7,15.1,9.7,31.6,4.4,15.6,47,1.5,ישראל,24,26,23,2.1,9.6,34.4,7950,2.7,18.9,18.9,1,חילוני,1.6,24.6,29.4,64,58.7,34.3
אור עקיבא,1020,2,2+1,5660,,,1,יהודים,96.5,,,40.5,51.3,8.2,951.2,31,30,32,46.3,76.5,76.7,23.3,16.9,10.1,43.1,4.7,15.5,34.8,1.9,ישראל,26,27,24,2,4.9,22.8,1810,3.1,27.3,17.6,1,חילוני,1.7,11.9,40.5,87.6,69.4,29.3
אור עקיבא,1020,3,3,2560,,,1,יהודים,93.4,,,23.3,57.1,19.6,751.5,41,38,44,26.9,41.7,50.6,49.4,15,9.5,18.3,4,13.8,63.1,0.8,רוסיה,23,25,22,2.1,17.7,37.5,980,2.4,13.8,23,1,חילוני,1.4,50.6,8.1,20,52.7,41.4
