LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
ראש העין,2640,22,22,2390,,,1,יהודים,91.9,,,27.3,59.1,13.6,692.2,38,39,37,15.7,78.5,89,11,8.6,5.5,53.2,20.4,6.1,18.3,1.9,ישראל,25,27,24,2,8.6,44.2,800,3,13,26.6,1,חילוני,2.3,7.3,55.2,66.1,79.2,15.2
ראש העין,2640,23,23,3930,,,1,יהודים,99,,,31.2,57,11.8,753.9,32,31,32,35.5,69.4,89.6,10.4,11.7,6.9,58.4,33.1,2.9,4.4,1.3,ישראל,25,26,23,2.3,10.7,54.3,1340,2.9,21.6,25.9,3,דתי/ דתי מאוד,1.6,26.3,31.3,64.7,46.3,31
ראש העין,2640,24,24,4840,,,1,יהודים,107.7,,,31.1,56.6,12.3,765.3,31,30,32,34.6,69.9,86.7,13.3,22.1,4.8,55.1,30.6,9.7,3.8,0.8,ישראל,25,27,22,2.5,9,40.9,1610,2.9,18.9,21.6,2,מסורתי,1.5,25.7,31.8,53.8,44,35.1
ראש העין,2640,25,25,3700,,,1,יהודים,102.4,,,30.6,58.5,10.9,710.1,30,30,31,37.5,62.8,91.6,8.4,10.5,6.1,60.4,30.1,4.1,4.7,0.7,ישראל,25,26,23,2.2,9.5,47.9,1160,3,21.3,21.9,2,מסורתי,1.7,18.3,32.1,62,39.1,39.2
ראש העין,2640,26,26,3300,,,1,יהודים,88.8,,,29.3,61.8,8.9,618.7,31,30,32,23.8,82.9,91.7,8.3,9.4,4.9,57,25.6,6.8,9.3,1.4,ישראל,25,27,23,1.9,7.6,30.5,1040,3.1,14.4,31.9,3,דתי/ דתי מאוד,1.8,13.9,50.8,74.7,65.9,29.2
ראש העין,2640,32,32+31,3520,,,1,יהודים,107.1,,,36.1,59.8,4,672,30,30,30,53,37.8,87.1,12.9,23,13.7,59.7,10.4,7.4,19.5,3.1,ישראל,27,28,25,1.8,3.5,39.4,1080,3,43.6,18.3,1,חילוני,1.8,8.1,50.1,97.7,37,63
ראש העין,2640,33,33,3820,,,1,יהודים,101.2,,,29.6,57.7,12.7,733.4,33,33,33,38.9,76.2,90.1,9.9,7.3,4.5,56.1,33.9,5.4,3.9,0.6,ישראל,25,27,23,2.5,10.9,52.8,1310,2.8,17.2,23.5,3,דתי/ דתי מאוד,1.6,26.5,27.5,56.4,53,33.5
ראש העין,2640,34,34,2480,,,1,יהודים,112.6,,,37.8,52.6,9.6,899.3,26,25,27,38.8,68.1,92.2,7.8,9.1,5,66.1,27.4,2.9,2.9,0.7,ישראל,24,25,23,2.5,12,78.1,680,3.4,27,22.7,3,דתי/ דתי מאוד,1.4,25.6,18.6,55.1,41.8,47.6
ראש העין,2640,35,35,4270,,,1,יהודים,96.1,,,34.2,53.4,12.4,872.3,33,30,35,37.2,78.1,86.5,13.5,11.3,6.4,54.7,27.2,7.7,9.2,1.2,ישראל,25,27,23,2.2,9.9,37.2,1410,3,21.8,21.8,2,מסורתי,1.6,20.1,32.5,75.7,61.5,28.7
ראש העין,2640,41,41,8010,,,1,יהודים,99.8,,,41.3,53.5,5.3,870.8,30,29,31,60.1,67.5,85.8,14.2,21.9,12.7,60.2,7.6,6.9,21.9,3.4,ישראל,27,28,26,1.8,5,44.5,2490,3.2,40.3,10.5,1,חילוני,1.9,6.2,52.9,99.1,59.9,37.6
ראש העין,2640,42,42+43,6970,,,1,יהודים,91.4,,,43.5,52.6,3.9,899.5,29,30,28,66.9,66.4,87.2,12.8,18.6,10,62.2,7.6,7.4,20.3,2.5,ישראל,27,28,26,1.9,3.7,26.5,2020,3.5,51,9.1,1,חילוני,2,5.6,63.1,98.5,66.8,32.1
ראש העין,2640,44,44,5400,,,1,יהודים,96.8,,,43.3,51.9,4.8,925.2,29,28,30,62,83.1,86.2,13.8,25.1,13.2,60.4,9.5,7,20.6,2.6,ישראל,27,28,26,2,5.2,33,1570,3.4,50.7,12.7,1,חילוני,1.9,7.8,57.2,99,60,37.1
ראש העין,2640,45,45,4530,,,1,יהודים,97.3,,,42.8,52.1,5.2,920.5,30,29,30,55.2,81.7,86.9,13.1,19.1,10.5,61.3,8.4,7.9,19.5,2.8,ישראל,27,28,26,1.9,4.8,20.6,1290,3.5,45.3,12.7,1,חילוני,2.1,5.1,58.4,98.5,62.5,35.5
ראש העין,2640,48,48,4450,,,1,יהודים,96.3,,,42.6,55.3,2.2,809.2,28,27,29,73.7,70.1,84.8,15.2,34.7,19.7,61.2,6.7,6.8,21.8,3.5,ישראל,26,28,25,1.8,4.8,32.2,1320,3.4,55.9,11.2,1,חילוני,1.9,6.4,59.1,99.2,62.3,34.7
ראש העין,2640,49,49,1670,,,1,יהודים,102,,,47.6,49.6,2.9,1018,22,21,23,22.3,91.6,91.2,8.8,19.4,12.7,61.6,10.7,6.9,18.1,2.8,ישראל,27,27,26,2.2,1.6,2.4,420,4,32.8,25.3,1,חילוני,2.7,6.8,72.1,91.2,80.2,17.1
ראש פינה,26,,,3350,23.2,1184.5,1,יהודים,95.1,1.1,2.6,30.7,52.8,16.5,894.8,35,32,36,14.3,75.6,88.3,11.7,15.6,8.5,58.5,4.7,13.8,17.9,5,ישראל,25,26,24,2.2,5.8,12.8,1180,2.7,15.4,24,1,חילוני,1.9,15,45.8,77.9,52.1,40.4
ראש צורים,3602,,,1070,102.4,7673.5,1,יהודים,102.1,2.1,0.8,53,44.8,2.2,1234.5,17,17,18,46.9,96.7,92.8,7.2,39,26.3,68.6,2.9,5,11.5,12,ישראל,24,25,23,2.9,1.1,,220,4.7,46.5,22.5,3,דתי/ דתי מאוד,2.4,4.5,67.8,56.8,59,38.9
ראשון לציון,8300,,,252410,9,9794.8,1,יהודים,94.7,1.1,2.1,25.7,55.3,19,808.1,39,37,40,26.7,72.9,69.6,30.4,21.9,12.1,37.7,13.1,13,34.3,1.8,ישראל,25,26,23,1.9,9.8,30.6,92930,2.6,15.1,19,1,חילוני,1.8,19.7,35.4,73.3,62.2,31.5
ראשון לציון,8300,111,111,480,,,1,יהודים,48.3,,,0.2,9.6,90.2,9437.4,80,82,79,,,0.7,99.3,2.5,0.2,0.2,0.3,0.2,98.9,0.4,רוסיה,24,26,22,1.9,65,64.1,320,1.4,,,1,חילוני,1.1,87.7,,33.7,3.1,79.3
ראשון לציון,8300,113,113,2870,,,1,יהודים,87.8,,,29.7,53.4,16.9,873.9,40,41,39,40.5,74.5,68.2,31.8,16.9,12,37.3,10.7,7.7,43.2,1.2,ישראל,25,27,24,1.8,6.4,21.7,1020,2.8,21.8,15.6,1,חילוני,1.9,7.9,39.5,97.8,73.9,19.3
ראשון לציון,8300,114,114+112,5230,,,1,יהודים,97.2,,,25.3,54.6,20.1,831.6,41,38,43,25,71.1,55,45,19.1,10.4,24.1,8.2,13.1,52.7,1.9,ישראל,24,26,23,1.9,10.3,33.1,1880,2.7,13.3,18.7,1,חילוני,1.9,20.1,26.9,87.5,66.3,26.2
ראשון לציון,8300,115,115,4820,,,1,יהודים,92.9,,,22.5,54.2,23.3,844.5,41,38,43,29.3,68.9,51.3,48.7,23.9,13,23.4,10.3,15.4,49.5,1.5,ישראל,24,27,23,1.8,14.5,35.9,1940,2.4,13,12.3,1,חילוני,1.6,32.1,25.1,68.3,55.3,36
ראשון לציון,8300,116,116,3890,,,1,יהודים,96.3,,,26,54.4,19.7,839.6,38,36,41,34,59.3,51.9,48.1,25.5,14.3,21.8,8.3,16.5,51.8,1.6,ישראל,24,25,22,1.9,17,49.7,1490,2.6,19.8,18.1,1,חילוני,1.7,34.9,18.8,59.1,59.6,33.4
ראשון לציון,8300,117,117,4360,,,1,יהודים,85,,,17.4,53.7,28.9,860.6,44,40,47,25.8,61,46.5,53.5,25.4,16.8,19.5,9.7,9.6,59.3,1.9,ישראל,24,25,23,1.7,15.3,42.9,1770,2.4,10.2,14.2,1,חילוני,1.6,33.2,18.7,52.8,59.8,33.6
ראשון לציון,8300,121,121,4330,,,1,יהודים,87.5,,,17.7,55.6,26.7,797.7,44,40,47,24.6,59.9,44,56,27.7,18.2,18.5,9.6,9.1,61.2,1.7,ישראל,24,26,23,1.5,13.3,37.2,1950,2.1,9.9,12.8,1,חילוני,1.7,41.1,11.2,50.2,52.8,44.7
ראשון לציון,8300,122,122,3640,,,1,יהודים,86.9,,,22.7,53.5,23.7,868.6,44,42,45,34.9,71.9,51.8,48.2,26.1,15.5,22.8,11,13.9,51.2,1.1,ישראל,24,26,22,2,13.7,41.7,1440,2.5,14.9,14,1,חילוני,1.7,28.2,14.3,60.2,56.8,39.4
ראשון לציון,8300,123,123,2980,,,1,יהודים,97.9,,,23.6,55.5,21,803.2,40,39,43,25.7,70.1,55.2,44.8,24.2,10.8,24.9,11.5,19.4,42.3,1.9,ישראל,24,25,23,1.9,10.7,33.9,1080,2.7,15.8,19,1,חילוני,1.5,24.5,25.8,78.5,65.1,29.5
ראשון לציון,8300,124,124,2400,,,1,יהודים,90.5,,,23.4,49,27.7,1042.7,45,40,49,26.4,70.5,53.8,46.2,15.8,6.3,24,9,14.8,51.3,0.9,ישראל,24,27,23,2.3,17.2,45.3,910,2.6,14,15.1,1,חילוני,1.7,23,22.7,84.3,75.5,19.9
ראשון לציון,8300,125,125,2410,,,1,יהודים,93.2,,,26.7,57.7,15.6,734.3,38,37,38,33.5,71.4,68.4,31.6,14.4,10.2,35.5,10.3,13,39.5,1.7,ישראל,25,26,24,2,6.3,19.5,850,2.8,17.1,23.2,1,חילוני,1.9,14.3,43.9,70.7,70.9,19.9
ראשון לציון,8300,126,126,4180,,,1,יהודים,90,,,24.4,53,22.6,887.9,42,39,43,30.6,70,58.8,41.2,17.6,10.2,27.3,11.7,14.3,45,1.7,ישראל,25,26,23,1.9,12.6,36.1,1540,2.7,15.6,16.9,1,חילוני,1.7,24.7,25.1,81,65.8,27
ראשון לציון,8300,131,131,2320,,,1,יהודים,96.1,,,25.1,55.6,19.3,799.5,42,41,43,26.8,74.8,71,29,13.2,8.9,37.7,14.9,11.6,33.5,2.3,ישראל,24,26,23,1.9,9.1,32.3,810,2.8,16.3,20.1,1,חילוני,1.7,14.3,39.4,81.6,64.9,27.4
